cliente_id,nome,email,telefone,estado,canal_aquisicao,data_cadastro,fonte_crm
1,Cliente_1,cliente1@email.com,11986877332,RJ,Indicação,2023-10-03,HubSpot
2,Cliente_2,cliente2@email.com,11961030298,CE,Orgânico,2024-12-14,Planilha
3,Cliente_3,cliente3@email.com,11987234987,PR,Facebook Ads,2023-08-16,ERP
4,Cliente_4,cliente4@email.com,11918115034,MG,Marketplace,2023-12-21,Planilha
5,Cliente_5,cliente5@email.com,11931672262,SP,Indicação,2024-11-22,ERP
6,Cliente_6,cliente6@email.com,11968692799,SP,Google Ads,2024-05-29,Planilha
7,Cliente_7,cliente7@email.com,11940332736,SP,Loja Física,2024-01-16,Planilha
8,Cliente_8,cliente8@email.com,11953192476,BA,Marketplace,2024-08-24,ERP
9,Cliente_9,cliente9@email.com,11956801693,MG,Loja Física,2024-09-16,HubSpot
10,Cliente_10,cliente10@email.com,11997330680,PR,Marketplace,2024-04-29,HubSpot
11,Cliente_11,cliente11@email.com,11956377687,SP,Indicação,2023-12-25,HubSpot
12,Cliente_12,cliente12@email.com,11968167780,CE,Facebook Ads,2024-02-19,ERP
13,Cliente_13,cliente13@email.com,11984387069,BA,Loja Física,2024-03-24,ERP
14,Cliente_14,cliente14@email.com,11960776272,SP,Marketplace,2023-05-28,HubSpot
15,Cliente_15,cliente15@email.com,11994671393,SP,Google Ads,2024-02-16,Planilha
16,Cliente_16,cliente16@email.com,11920791295,SP,Google Ads,2024-11-13,ERP
17,Cliente_17,cliente17@email.com,11960840301,SP,Facebook Ads,2023-05-29,HubSpot
18,Cliente_18,cliente18@email.com,11969434650,MG,Marketplace,2023-02-22,Planilha
19,Cliente_19,cliente19@email.com,11929737391,RJ,Loja Física,2023-10-23,ERP
20,Cliente_20,cliente20@email.com,11945019524,SP,Google Ads,2023-12-06,HubSpot
21,Cliente_21,cliente21@email.com,11990998238,MG,Orgânico,2024-04-22,Planilha
22,Cliente_22,cliente22@email.com,11947753496,SP,Facebook Ads,2023-11-28,HubSpot
23,Cliente_23,cliente23@email.com,11942045405,SP,Loja Física,2024-10-10,ERP
24,Cliente_24,cliente24@email.com,11981686749,RJ,Marketplace,2023-04-11,ERP
25,Cliente_25,cliente25@email.com,11978246828,RJ,Marketplace,2024-03-30,ERP
26,Cliente_26,cliente26@email.com,11988791497,SC,Orgânico,2024-06-11,HubSpot
27,Cliente_27,cliente27@email.com,11913641350,SP,Facebook Ads,2024-04-06,ERP
28,Cliente_28,cliente28@email.com,11911396361,MG,Facebook Ads,2023-11-20,ERP
29,Cliente_29,cliente29@email.com,11957097014,MG,Google Ads,2024-06-30,HubSpot
30,Cliente_30,cliente30@email.com,11921828189,SP,Marketplace,2024-03-09,ERP
31,Cliente_31,cliente31@email.com,11965719797,MG,Marketplace,2024-08-10,HubSpot
32,Cliente_32,cliente32@email.com,11949397363,SP,Loja Física,2024-01-31,Planilha
33,Cliente_33,cliente33@email.com,11937467410,SP,Loja Física,2023-03-27,HubSpot
34,Cliente_34,cliente34@email.com,11910121321,CE,Orgânico,2024-12-10,HubSpot
35,Cliente_35,cliente35@email.com,11938897757,CE,Marketplace,2023-12-02,HubSpot
36,Cliente_36,cliente36@email.com,11995548319,SC,Loja Física,2023-01-03,Planilha
37,Cliente_37,cliente37@email.com,11974128950,SP,Marketplace,2024-11-08,HubSpot
38,Cliente_38,cliente38@email.com,11971605879,SP,Google Ads,2024-06-16,Planilha
39,Cliente_39,cliente39@email.com,11961591775,RS,Orgânico,2023-11-15,HubSpot
40,Cliente_40,cliente40@email.com,11981606399,RJ,Google Ads,2024-01-28,HubSpot
41,Cliente_41,cliente41@email.com,11936977970,SP,Loja Física,2024-10-18,Planilha
42,Cliente_42,cliente42@email.com,11954699112,RJ,Indicação,2024-05-28,Planilha
43,Cliente_43,cliente43@email.com,11910445333,SP,Google Ads,2023-10-24,HubSpot
44,Cliente_44,cliente44@email.com,11976721560,PE,Indicação,2024-03-29,Planilha
45,Cliente_45,cliente45@email.com,11918901147,SP,Indicação,2023-09-12,ERP
46,Cliente_46,cliente46@email.com,11955558403,RS,Facebook Ads,2024-05-05,Planilha
47,Cliente_47,cliente47@email.com,11959636617,SP,Google Ads,2023-03-17,HubSpot
48,Cliente_48,cliente48@email.com,11918593222,MG,Indicação,2023-03-25,HubSpot
49,Cliente_49,cliente49@email.com,11996440608,MG,Orgânico,2023-09-12,ERP
50,Cliente_50,cliente50@email.com,11911380625,SP,Marketplace,2023-04-30,HubSpot
51,Cliente_51,cliente51@email.com,11984152872,CE,Orgânico,2024-08-22,ERP
52,Cliente_52,cliente52@email.com,11982776085,SC,Marketplace,2024-08-07,Planilha
53,Cliente_53,cliente53@email.com,11944360127,PE,Orgânico,2024-07-21,ERP
54,Cliente_54,cliente54@email.com,11935590129,PE,Orgânico,2023-06-27,Planilha
55,Cliente_55,cliente55@email.com,11986991557,MG,Marketplace,2023-10-20,ERP
56,Cliente_56,cliente56@email.com,11996221916,PE,Facebook Ads,2023-05-16,HubSpot
